------------ Options -------------
PBAFN_gen_checkpoint: None
PBAFN_warp_checkpoint: checkpoints/PBAFN_stage1/PBAFN_warp_epoch_101.pth
PFAFN_gen_checkpoint: None
PFAFN_warp_checkpoint: None
batchSize: 64
beta1: 0.5
checkpoints_dir: ./checkpoints
continue_train: False
data_type: 32
dataroot: dataset/VITON_traindata/
debug: False
display_freq: 100
display_winsize: 512
fineSize: 512
gpu_ids: [0]
input_nc: 3
isTrain: True
label_nc: 14
lambda_feat: 10.0
launcher: pytorch
loadSize: 512
load_pretrain: 
local_rank: 0
lr: 5e-05
max_dataset_size: inf
nThreads: 1
n_blocks_global: 4
n_blocks_local: 3
n_downsample_global: 4
n_layers_D: 3
n_local_enhancers: 1
name: PBAFN_e2e
ndf: 64
netG: global
ngf: 64
niter: 50
niter_decay: 50
niter_fix_global: 0
no_flip: False
no_ganFeat_loss: False
no_html: False
no_lsgan: False
no_vgg_loss: False
norm: instance
num_D: 2
num_gpus: 1
output_nc: 3
phase: train
pool_size: 0
print_freq: 100
resize_or_crop: None
save_epoch_freq: 20
save_latest_freq: 1000
serial_batches: False
tf_log: False
tv_weight: 0.1
use_dropout: False
verbose: False
which_epoch: latest
-------------- End ----------------
------------ Options -------------
PBAFN_gen_checkpoint: None
PBAFN_warp_checkpoint: checkpoints/PBAFN_stage1/PBAFN_warp_epoch_101.pth
PFAFN_gen_checkpoint: None
PFAFN_warp_checkpoint: None
batchSize: 64
beta1: 0.5
checkpoints_dir: ./checkpoints
continue_train: False
data_type: 32
dataroot: dataset/VITON_traindata/
debug: False
display_freq: 100
display_winsize: 512
fineSize: 512
gpu_ids: [0]
input_nc: 3
isTrain: True
label_nc: 14
lambda_feat: 10.0
launcher: pytorch
loadSize: 512
load_pretrain: 
local_rank: 0
lr: 5e-05
max_dataset_size: inf
nThreads: 1
n_blocks_global: 4
n_blocks_local: 3
n_downsample_global: 4
n_layers_D: 3
n_local_enhancers: 1
name: PBAFN_e2e
ndf: 64
netG: global
ngf: 64
niter: 50
niter_decay: 50
niter_fix_global: 0
no_flip: False
no_ganFeat_loss: False
no_html: False
no_lsgan: False
no_vgg_loss: False
norm: instance
num_D: 2
num_gpus: 1
output_nc: 3
phase: train
pool_size: 0
print_freq: 100
resize_or_crop: None
save_epoch_freq: 20
save_latest_freq: 1000
serial_batches: False
tf_log: False
tv_weight: 0.1
use_dropout: False
verbose: False
which_epoch: latest
-------------- End ----------------
------------ Options -------------
PBAFN_gen_checkpoint: None
PBAFN_warp_checkpoint: checkpoints/PBAFN_stage1/PBAFN_warp_epoch_101.pth
PFAFN_gen_checkpoint: None
PFAFN_warp_checkpoint: None
batchSize: 64
beta1: 0.5
checkpoints_dir: ./checkpoints
continue_train: False
data_type: 32
dataroot: dataset/VITON_traindata/
debug: False
display_freq: 100
display_winsize: 512
fineSize: 512
gpu_ids: [0]
input_nc: 3
isTrain: True
label_nc: 14
lambda_feat: 10.0
launcher: pytorch
loadSize: 512
load_pretrain: 
local_rank: 0
lr: 5e-05
max_dataset_size: inf
nThreads: 1
n_blocks_global: 4
n_blocks_local: 3
n_downsample_global: 4
n_layers_D: 3
n_local_enhancers: 1
name: PBAFN_e2e
ndf: 64
netG: global
ngf: 64
niter: 50
niter_decay: 50
niter_fix_global: 0
no_flip: False
no_ganFeat_loss: False
no_html: False
no_lsgan: False
no_vgg_loss: False
norm: instance
num_D: 2
num_gpus: 1
output_nc: 3
phase: train
pool_size: 0
print_freq: 100
resize_or_crop: None
save_epoch_freq: 20
save_latest_freq: 1000
serial_batches: False
tf_log: False
tv_weight: 0.1
use_dropout: False
verbose: False
which_epoch: latest
-------------- End ----------------
dataset [AlignedDataset] was created
2023.07.16-02:33:45:100:[step-100]--[loss-7.842278]--[loss-3.401840]--[ETA-13:45:11]
2023.07.16-02:37:31:200:[step-200]--[loss-6.666911]--[loss-3.054896]--[ETA-13:49:39]
End of epoch 1 / 100 	 Time Taken: 503 sec
2023.07.16-02:41:19:78:[step-300]--[loss-6.368855]--[loss-2.993914]--[ETA-13:45:22]
2023.07.16-02:45:04:178:[step-400]--[loss-5.735356]--[loss-2.811627]--[ETA-13:40:08]
End of epoch 2 / 100 	 Time Taken: 502 sec
2023.07.16-02:48:52:56:[step-500]--[loss-5.883941]--[loss-2.839063]--[ETA-13:36:03]
2023.07.16-02:52:38:156:[step-600]--[loss-6.832635]--[loss-3.026534]--[ETA-13:42:00]
End of epoch 3 / 100 	 Time Taken: 502 sec
2023.07.16-02:56:25:34:[step-700]--[loss-5.168338]--[loss-2.706169]--[ETA-13:29:55]
2023.07.16-03:00:11:134:[step-800]--[loss-5.621194]--[loss-2.766991]--[ETA-13:27:51]
End of epoch 4 / 100 	 Time Taken: 503 sec
2023.07.16-03:03:59:12:[step-900]--[loss-4.899707]--[loss-2.671097]--[ETA-13:20:17]
2023.07.16-03:07:45:112:[step-1000]--[loss-5.135260]--[loss-2.602082]--[ETA-13:15:08]
2023.07.16-03:11:31:212:[step-1100]--[loss-5.285097]--[loss-2.616430]--[ETA-13:22:56]
End of epoch 5 / 100 	 Time Taken: 503 sec
2023.07.16-03:15:19:90:[step-1200]--[loss-4.969185]--[loss-2.626486]--[ETA-13:08:12]
2023.07.16-03:19:05:190:[step-1300]--[loss-4.787800]--[loss-2.544841]--[ETA-13:06:35]
End of epoch 6 / 100 	 Time Taken: 503 sec
2023.07.16-03:22:53:68:[step-1400]--[loss-5.733299]--[loss-2.558429]--[ETA-12:53:41]
2023.07.16-03:26:38:168:[step-1500]--[loss-5.175743]--[loss-2.522489]--[ETA-12:54:05]
End of epoch 7 / 100 	 Time Taken: 502 sec
2023.07.16-03:30:26:46:[step-1600]--[loss-5.424288]--[loss-2.397183]--[ETA-12:55:55]
2023.07.16-03:34:12:146:[step-1700]--[loss-4.817583]--[loss-2.384211]--[ETA-12:51:23]
End of epoch 8 / 100 	 Time Taken: 503 sec
2023.07.16-03:37:59:24:[step-1800]--[loss-4.741221]--[loss-2.349336]--[ETA-12:49:04]
2023.07.16-03:41:46:124:[step-1900]--[loss-5.204398]--[loss-2.446564]--[ETA-12:48:32]
End of epoch 9 / 100 	 Time Taken: 504 sec
2023.07.16-03:45:34:2:[step-2000]--[loss-4.851207]--[loss-2.268246]--[ETA-12:33:33]
2023.07.16-03:49:20:102:[step-2100]--[loss-4.539742]--[loss-2.279102]--[ETA-12:42:37]
2023.07.16-03:53:05:202:[step-2200]--[loss-4.931640]--[loss-2.283638]--[ETA-12:30:01]
End of epoch 10 / 100 	 Time Taken: 503 sec
2023.07.16-03:56:53:80:[step-2300]--[loss-4.747674]--[loss-2.293423]--[ETA-12:24:30]
2023.07.16-04:00:39:180:[step-2400]--[loss-4.502086]--[loss-2.288566]--[ETA-12:23:04]
End of epoch 11 / 100 	 Time Taken: 503 sec
2023.07.16-04:04:27:58:[step-2500]--[loss-4.481018]--[loss-2.274379]--[ETA-12:20:13]
2023.07.16-04:08:12:158:[step-2600]--[loss-4.688159]--[loss-2.222294]--[ETA-12:15:20]
End of epoch 12 / 100 	 Time Taken: 502 sec
2023.07.16-04:12:00:36:[step-2700]--[loss-5.061057]--[loss-2.166668]--[ETA-12:09:51]
2023.07.16-04:15:46:136:[step-2800]--[loss-4.758794]--[loss-2.191570]--[ETA-12:09:08]
End of epoch 13 / 100 	 Time Taken: 503 sec
2023.07.16-04:19:34:14:[step-2900]--[loss-4.674791]--[loss-2.212137]--[ETA-12:03:30]
2023.07.16-04:23:21:114:[step-3000]--[loss-4.645892]--[loss-2.192174]--[ETA-12:06:12]
2023.07.16-04:27:07:214:[step-3100]--[loss-4.866950]--[loss-2.185780]--[ETA-12:00:48]
End of epoch 14 / 100 	 Time Taken: 504 sec
2023.07.16-04:30:55:92:[step-3200]--[loss-4.873981]--[loss-2.132204]--[ETA-12:00:20]
